in.comstock_building_type_group,in.comstock_building_type,in.hvac_combined_type,weighted_sqft,total_tons,out.params.cdd50f_avg,out.params.cdd65f_avg,out.params.hdd50f_avg,out.params.hdd65f_avg,bin_distribution_json,clean_county,share_pct,cdd50f_rank,cdd65f_rank,hdd50f_rank,hdd65f_rank,county_context_json
Education,PrimarySchool,Central Single-zone RTU_Boiler _DX,43748.37102806117,138.26452387327998,2587.3210186011797,603.530980654756,3863.070503720251,7354.280465773827,"{""0-5"": 0.0, ""101-150"": 138.26452387327998, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Schuyler,100.0,58.0,60.0,8.0,11.0,"{""Central Single-zone RTU_Boiler _DX"": 138.26452387327998}"
Education,SecondarySchool,Central Multi-zone VAV RTU_Furnace_DX,33641.74183443858,180.26327892260431,3196.137023281241,962.737901738879,2789.750133716076,6031.351012173714,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 180.26327892260431, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Schuyler,9.693691208835098,39.0,40.0,28.0,28.0,"{""Central Multi-zone VAV RTU_Furnace_DX"": 180.26327892260431, ""Central Single-zone RTU_Boiler _DX"": 768.924632306562, ""Central Single-zone RTU_Furnace_DX"": 685.0204288739722, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 225.38544145148126}"
Education,SecondarySchool,Central Single-zone RTU_Boiler _DX,58073.48531454432,768.924632306562,3067.73911921948,931.1562553685826,3415.2345513841524,6753.651687533255,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 558.3406877331848, ""21-30"": 0.0, ""31-50"": 49.8687716721416, ""51-75"": 71.96998893967887, ""6-10"": 0.0, ""76-100"": 88.7451839615567}",Schuyler,41.34906450718185,39.0,40.0,28.0,28.0,"{""Central Multi-zone VAV RTU_Furnace_DX"": 180.26327892260431, ""Central Single-zone RTU_Boiler _DX"": 768.924632306562, ""Central Single-zone RTU_Furnace_DX"": 685.0204288739722, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 225.38544145148126}"
Education,SecondarySchool,Central Single-zone RTU_Furnace_DX,80836.80084248823,685.0204288739722,2914.912980417065,813.7831781821477,3451.47045335769,6825.340651122773,"{""0-5"": 0.0, ""101-150"": 249.74042215448227, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 203.37909436839425, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 62.85150075798408, ""6-10"": 0.0, ""76-100"": 169.04941159311159}",Schuyler,36.8371004285299,39.0,40.0,28.0,28.0,"{""Central Multi-zone VAV RTU_Furnace_DX"": 180.26327892260431, ""Central Single-zone RTU_Boiler _DX"": 768.924632306562, ""Central Single-zone RTU_Furnace_DX"": 685.0204288739722, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 225.38544145148126}"
Education,SecondarySchool,DOAS+Zone terminal equipment_Boiler _ACC,1395.820282625565,0.0,3194.140751881992,1012.591793898802,3366.842984893489,6660.294026910299,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Schuyler,0.0,39.0,40.0,28.0,28.0,"{""Central Multi-zone VAV RTU_Furnace_DX"": 180.26327892260431, ""Central Single-zone RTU_Boiler _DX"": 768.924632306562, ""Central Single-zone RTU_Furnace_DX"": 685.0204288739722, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 225.38544145148126}"
Education,SecondarySchool,Zone terminal equipment_Boiler _DX,33699.829122673094,225.38544145148126,2965.648824032727,868.0192872023742,3500.0938311012033,6877.464294270851,"{""0-5"": 0.0, ""101-150"": 149.2937939661682, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 76.09164748531305}",Schuyler,12.120143855453158,39.0,40.0,28.0,28.0,"{""Central Multi-zone VAV RTU_Furnace_DX"": 180.26327892260431, ""Central Single-zone RTU_Boiler _DX"": 768.924632306562, ""Central Single-zone RTU_Furnace_DX"": 685.0204288739722, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 225.38544145148126}"
Food Sales,Grocery,Central Single-zone RTU_Furnace_DX,73397.36810658753,1330.613210899419,3178.755755675877,1022.6592075892785,3363.283823053733,6682.187274967135,"{""0-5"": 0.0, ""101-150"": 121.18644307517047, ""11-15"": 0.0, ""151-200"": 157.2439640583533, ""16-20"": 0.0, ""200+"": 876.6920460287263, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 175.49075773716896}",Schuyler,86.07759315399787,39.0,34.0,21.0,21.0,"{""Central Single-zone RTU_Furnace_DX"": 1330.613210899419, ""Residential forced air_Furnace_DX"": 215.21673408855696}"
Food Sales,Grocery,Residential forced air_Furnace_DX,5138.845886720432,215.21673408855696,3029.5320977897986,958.5942056963153,3453.9872132120036,6858.04932111852,"{""0-5"": 0.0, ""101-150"": 117.05253222566134, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 98.16420186289562}",Schuyler,13.922406846002133,39.0,34.0,21.0,21.0,"{""Central Single-zone RTU_Furnace_DX"": 1330.613210899419, ""Residential forced air_Furnace_DX"": 215.21673408855696}"
Food Service,FullServiceRestaurant,Central Single-zone RTU_ASHP_ASHP,782.1876960944395,23.821173689197096,3213.6311779966004,1049.827468626503,3254.895879489597,6566.092170119499,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 23.821173689197096, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Schuyler,1.1042055051790027,17.0,14.0,37.0,37.0,"{""Central Single-zone RTU_ASHP_ASHP"": 23.821173689197096, ""Central Single-zone RTU_Electric Resistance_DX"": 186.27316038231507, ""Central Single-zone RTU_Furnace_DX"": 1947.2190987514336}"
Food Service,FullServiceRestaurant,Central Single-zone RTU_Electric Resistance_DX,3072.725234392683,186.27316038231507,3198.0346934523695,1050.9445761904692,3256.9448471726314,6584.85472991073,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 16.54501190940863, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 169.72814847290644, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Schuyler,8.634496849100314,17.0,14.0,37.0,37.0,"{""Central Single-zone RTU_ASHP_ASHP"": 23.821173689197096, ""Central Single-zone RTU_Electric Resistance_DX"": 186.27316038231507, ""Central Single-zone RTU_Furnace_DX"": 1947.2190987514336}"
